client,client_tier,team,task_type,seniority,task_complexity_score,brief_quality_score,deadline_pressure,scope_change_flag,pricing_model,created_at,delivered_at,sla_days,sla_breach,hours_spent,billable_hours,ai_usage_pct,ai_assisted,revisions,errors,rework_hours,outcome_score,revenue,cost,profit,updated_at,task_status,workflow_stage,legacy_ai_flag,content_version,rework_ratio,cost_ratio,efficiency,delivery_time,ai_complexity,error_rate,revisions_rate,ai_group,profit_margin,profit_per_hour,revenue_per_hour,is_loss,sla_ratio,outcome_norm,rework_norm,quality_index,sla_ratio_norm,speed_index,ai_usage_pct_sq
Client_F,mid,content,report,junior,2,3.0,high,0,hourly,2025-11-20,2025-11-25 00:00:00.000000,10.0,0,7.63,5.14,0.75,True,1,1,2.1,69.93,498.11,346.17,151.94,2025-11-28,review,finalized,true,v1,0.2158273381294964,0.6949669751661279,0.673656618610747,5,1.5,0.1310615989515072,0.1310615989515072,50-75%,0.305033024833872,19.913499344692006,65.28309305373526,0,0.5,0.6695604395604396,0.21632329456122074,0.4532371449992189,0.1,0.9,0.5625
Client_H,low,media,release,junior,1,2.0,medium,0,fixed,2026-01-24,2026-01-26 00:00:00.000000,7.0,0,9.52,8.22,0.0,False,1,1,4.48,82.79,847.01,343.18,503.83,2026-01-26,delivered,client_review,false,v1,0.32,0.4051664088971795,0.8634453781512607,2,0.12,0.10504201680672269,0.10504201680672269,0-15%,0.5948335911028205,52.92331932773109,88.97163865546219,0,0.2857142857142857,0.810879120879121,0.3207353380694366,0.49014378280968435,0.05714285714285714,0.9428571428571428,0.0
Client_D,low,design,development,junior,3,4.0,medium,0,fixed,2025-09-16,2025-09-23 00:00:00.000000,5.0,1,8.45,6.15,0.37,True,2,0,2.71,76.4,1374.07,365.02,1009.05,2025-09-17,in_progress,qa,true,v2,0.24283154121863798,0.2656487660745086,0.727810650887574,7,1.1099999999999999,0.0,0.2366863905325444,30-50%,0.7343512339254914,119.41420118343196,162.61183431952662,0,1.4,0.7406593406593407,0.24338955145838184,0.4972697892009589,0.27999999999999997,0.72,0.1369
Client_E,mid,content,design,mid,3,2.0,low,0,hourly,2025-11-06,2025-11-09 00:00:00.000000,3.0,0,28.35,24.22,0.0,False,4,1,0.0,69.41,2379.11,1514.73,864.3800000000001,2025-11-12,in_progress,briefing,false,v1,0.0,0.6366792624132553,0.8543209876543209,3,0.21000000000000002,0.03527336860670194,0.14109347442680775,0-15%,0.36332073758674466,30.489594356261026,83.91922398589065,0,1.0,0.6638461538461539,0.0,0.6638461538461539,0.2,0.8,0.0
Client_C,low,design,article,senior,2,5.0,low,0,fixed,2026-05-02,2026-05-06 00:00:00.000000,7.0,0,5.93,4.44,0.2,True,2,2,0.84,69.41,709.95,335.27,374.68000000000006,2026-05-09,review,execution,true,v2,0.1240768094534712,0.4722445242622719,0.748735244519393,4,0.4,0.3372681281618887,0.3372681281618887,15-30%,0.5277554757377281,63.183811129848245,119.72175379426646,0,0.5714285714285714,0.6638461538461539,0.12436192945823799,0.5394842243879159,0.11428571428571428,0.8857142857142857,0.04000000000000001
Client_G,mid,content,ticket,junior,1,2.0,medium,0,hourly,2026-05-10,2026-05-12 00:00:00.000000,2.0,0,5.72,5.03,0.43,True,3,0,3.57,58.52,412.26,227.78,184.48,2026-05-13,in_progress,qa,true,final,0.38428417653390745,0.5525154029010818,0.8793706293706295,2,0.43,0.0,0.5244755244755245,30-50%,0.44748459709891814,32.25174825174825,72.07342657342657,0,1.0,0.5441758241758242,0.38516723523543084,0.15900858894039338,0.2,0.8,0.18489999999999998
Client_D,high,seo,report,junior,3,2.0,medium,0,hourly,2025-08-27,2025-08-30 00:00:00.000000,3.0,0,13.83,11.5,0.58,True,3,2,4.51,56.55,1523.0,744.12,778.88,2025-08-31,review,qa,false,v1,0.24591057797164667,0.4885883125410374,0.8315256688358641,3,1.7399999999999998,0.14461315979754158,0.21691973969631237,50-75%,0.5114116874589626,56.31814895155459,110.1229211858279,0,1.0,0.5225274725274724,0.2464756636268333,0.2760518089006392,0.2,0.8,0.3364
Client_G,high,media,article,junior,4,4.0,low,0,fixed,2026-03-27,2026-03-27 00:00:00.000000,7.0,0,8.83,5.19,0.27,True,5,0,3.05,89.39,1540.97,311.76,1229.21,2026-03-31,delivered,qa,false,v1,0.25673400673400676,0.20231412681622613,0.5877689694224236,0,1.08,0.0,0.5662514156285391,15-30%,0.7976858731837738,139.2083805209513,174.51528878822197,0,0.0,0.8834065934065934,0.2573239638867271,0.6260826295198663,0.0,1.0,0.0729
Client_G,low,design,ad,mid,3,3.0,high,0,value_based,2025-09-10,2025-09-17 00:00:00.000000,3.0,1,8.8,7.39,0.4,True,1,0,1.86,93.27,1040.82,568.06,472.76,2025-09-14,review,qa,false,v1,0.17448405253283303,0.545781210968275,0.8397727272727271,7,1.2000000000000002,0.0,0.11363636363636363,30-50%,0.454218789031725,53.72272727272727,118.27499999999998,0,2.3333333333333335,0.926043956043956,0.17488500492763606,0.7511589511163199,0.4666666666666667,0.5333333333333333,0.16000000000000003
Client_B,mid,media,ticket,junior,2,4.0,medium,0,hourly,2026-04-08,2026-04-10 00:00:00.000000,2.0,0,12.67,9.38,0.4,True,2,1,0.87,77.21,283.23,516.59,-233.36,2026-04-16,in_progress,qa,false,final,0.06425406203840472,1.823924019348233,0.7403314917127073,2,0.8,0.07892659826361484,0.15785319652722968,30-50%,-0.8239240193482329,-18.418310970797158,22.354380426203633,1,1.0,0.7495604395604395,0.06440171346944466,0.6851587260909948,0.2,0.8,0.16000000000000003
Client_F,low,content,report,junior,5,4.0,high,0,hourly,2026-05-03,2026-05-09 00:00:00.000000,3.0,1,21.11,13.48,0.56,True,5,1,4.61,78.42,1681.29,661.02,1020.27,2026-05-10,review,execution,true,v2,0.17923794712286162,0.39316239316239315,0.6385599242065372,6,2.8000000000000003,0.047370914258645196,0.23685457129322596,50-75%,0.6068376068376068,48.33112269066793,79.64424443391758,0,2.0,0.7628571428571429,0.17964982364163384,0.5832073192155091,0.4,0.6,0.31360000000000005
